,Название,Производитель,Обычная цена,Цена за кг
0,"Солод Castle Malting Rye (ржаной), 5 кг",Castle Malting,1135руб.,(227руб.за 1кг)
1,"Солод Castle Malting Roasted Barley (Жженый ячмень), 5 кг",Castle Malting,1185руб.,(237руб.за 1кг)
2,"Солод Castle Malting Black (Жженый 1300), 5 кг",Castle Malting,1090руб.,(218руб.за 1кг)
3,"Солод Курский ржаной ферментированный, молотый, 25 кг",Органик ФУД,2325руб.,(93руб.за 1кг)
4,"Солод Курский Пилзнер Премиум, 5 кг",Курский солод,572руб.,(114руб.за 1кг)
5,"Солод Курский Копченый на торфе, дробленный, 5 кг",Ностерс,905руб.,(181руб.за 1кг)
6,"Солод Курский Копченый на торфе, 5 кг",Ностерс,850руб.,(170руб.за 1кг)
7,"Солод Курский Копченый на торфе, 25 кг",Ностерс,3700руб.,(148руб.за 1кг)
8,"Солод Castle Malting Biscuit (Бисквит), 5 кг",Castle Malting,1025руб.,(205руб.за 1кг)
9,"Солод Castle Malting Whiskey Light (Висковый Лайт), 25 ppm, 5 кг",Castle Malting,1440руб.,(288руб.за 1кг)
10,"Солод Курский Меланоидиновый, 5 кг",Курский солод,665руб.,(133руб.за 1кг)
11,"Солод Castle Malting Whiskey Light (Висковый Лайт), 25 ppm, 25 кг",Castle Malting,6825руб.,(273руб.за 1кг)
12,"Солод Курский  пшеничный карамельный, 25 кг",Курский солод,2825руб.,(113руб.за 1кг)
13,"Солод Курский висковый, дробленый, 5 кг",Курский солод,825руб.,(165руб.за 1кг)
14,"Солод Курский Копченый на буке, дробленый, 5 кг",Ностерс,905руб.,(181руб.за 1кг)
15,"Солод Курский Копченый на буке, 5 кг",Ностерс,850руб.,(170руб.за 1кг)
16,"Солод Курский висковый, 5 кг",Курский солод,775руб.,(155руб.за 1кг)
17,"Солод Курский пшеничный темный, 25 кг",Курский солод,2825руб.,(113руб.за 1кг)
18,"Солод Курский висковый, 25 кг",Курский солод,3375руб.,(135руб.за 1кг)
19,"Солод Курский Копченый на буке, 25 кг",Ностерс,3700руб.,(148руб.за 1кг)
20,"Солод Курский овсяный голозерный, 1 кг",Курский солод,161руб.,(161руб.за 1кг)
21,"Солод Курский овсяный голозерный, 25 кг",Курский солод,3100руб.,(124руб.за 1кг)
22,"Солод Castle Malting Melano (Мелано), 5 кг",Castle Malting,940руб.,(188руб.за 1кг)
23,"Солод Castle Malting Crystal (Кристалл), 5 кг",Castle Malting,980руб.,(196руб.за 1кг)
24,"Солод Castle Malting Abbey, 5 кг",Castle Malting,940руб.,(188руб.за 1кг)
25,"Солод Castle Malting Cafe (Кофейный), 5 кг",Castle Malting,1030руб.,(206руб.за 1кг)
26,"Солод карамельный Castle Malting Cara Cafe (Кара Кофейный), 5 кг",Castle Malting,1085руб.,(217руб.за 1кг)
27,"Солод Курский ржаной неферментированный, 5 кг",Органик ФУД,470руб.,(94руб.за 1кг)
28,"Солод Castle Malting Whiskey (Висковый), 5 кг",Castle Malting,1455руб.,(291руб.за 1кг)
29,"Солод карамельный Castle Malting Cara Terra (Кара Терра), 5 кг",Castle Malting,1050руб.,(210руб.за 1кг)
30,"Солод карамельный Castle Malting Cara Gold (Кара Голд), 5 кг",Castle Malting,995руб.,(199руб.за 1кг)
31,"Солод карамельный Castle Malting Cara Clair (Кара Клэр), 5 кг",Castle Malting,1025руб.,(205руб.за 1кг)
32,"Солод Castle Malting Vienna (Венский), 5 кг",Castle Malting,890руб.,(178руб.за 1кг)
33,"Солод Castle Malting Pilsen (Пилзнер), 5 кг",Castle Malting,880руб.,(176руб.за 1кг)
34,"Солод Castle Malting Pale Ale (Пэйл Эль), 5 кг",Castle Malting,900руб.,(180руб.за 1кг)
35,"Солод Castle Malting Arome (Арома), 5 кг",Castle Malting,945руб.,(189руб.за 1кг)
36,"Солод Castle Malting Wheat Blanc (пшеничный), 5 кг",Castle Malting,955руб.,(191руб.за 1кг)
37,"Солод Castle Malting Cafe Light (Кофейный Лайт), 5 кг",Castle Malting,1025руб.,(205руб.за 1кг)
38,"Солод Castle Malting Acid (Кислый), 5 кг",Castle Malting,1180руб.,(236руб.за 1кг)
39,"Солод Castle Malting Munich (Мюнхенский), 5 кг",Castle Malting,965руб.,(193руб.за 1кг)
40,"Солод Курский ржаной ферментированный, молотый, 1 кг",Органик ФУД,110руб.,(110руб.за 1кг)
41,"Солод Курский ржаной ферментированный, 5 кг",Органик ФУД,535руб.,(107руб.за 1кг)
42,"Солод Курский ржаной ферментированный, молотый, 5 кг",Органик ФУД,550руб.,(110руб.за 1кг)
43,"Солод Курский ржаной неферментированный, 25 кг",Органик ФУД,2200руб.,(88руб.за 1кг)
44,"Солод Курский ржаной неферментированный, молотый, 25 кг",Органик ФУД,2750руб.,(110руб.за 1кг)
45,"Солод Курский ржаной ферментированный, 25 кг",Органик ФУД,2200руб.,(88руб.за 1кг)
46,"Солод Castle Malting Munich Light (Мюнхенский Лайт), 25 кг",Castle Malting,4275руб.,(171руб.за 1кг)
47,"Солод карамельный Castle Malting Cara Terra (Кара Терра), 25 кг",Castle Malting,4900руб.,(196руб.за 1кг)
48,"Солод Castle Malting Crystal (Кристалл), 25 кг",Castle Malting,4575руб.,(183руб.за 1кг)
49,"Солод карамельный Castle Malting Cara Cafe (Кара Кофейный), 25 кг",Castle Malting,5075руб.,(203руб.за 1кг)
50,"Солод карамельный Castle Malting Cara Honey (Медовый), 25 кг",Castle Malting,4650руб.,(186руб.за 1кг)
51,"Солод Курский Пилзнер Премиум, 25 кг",Курский солод,2825руб.,(113руб.за 1кг)
52,"Солод Курский Карамельный 300, дробленный, 5 кг",Курский солод,735руб.,(147руб.за 1кг)
53,"Солод Курский Карамельный 250, 5 кг",Курский солод,603руб.,(120руб.за 1кг)
54,"Солод Курский гречишный, 5 кг",Курский солод,884руб.,(177руб.за 1кг)
55,"Солод Курский Шоколадный 900, 5 кг",Курский солод,890руб.,(178руб.за 1кг)
56,"Солод Курский Карамельный 150, 5 кг",Курский солод,685руб.,(137руб.за 1кг)
57,"Солод Курский Карамельный 200, дробленный, 1 кг",Курский солод,169руб.,(169руб.за 1кг)
58,"Солод Курский пшеничный, дробленный, 1 кг",Курский солод,100руб.,(100руб.за 1кг)
59,"Солод Курский Карамельный 300, дробленный, 1 кг",Курский солод,161руб.,(161руб.за 1кг)
60,"Солод Курский Карамельный 250, дробленный, 1 кг",Курский солод,161руб.,(161руб.за 1кг)
61,"Солод Курский Карамельный 100, дробленный, 1 кг",Курский солод,161руб.,(161руб.за 1кг)
62,"Солод Курский Шоколадный 900, 1 кг",Курский солод,202руб.,(202руб.за 1кг)
63,"Солод Курский Карамельный 300, 5 кг",Курский солод,685руб.,(137руб.за 1кг)
64,"Карамельный 300, 1кг",Курский солод,151руб.,(151руб.за 1кг)
65,"Солод Курский Карамельный 250, 1 кг",Курский солод,151руб.,(151руб.за 1кг)
66,"Солод Курский Карамельный 200, 5 кг",Курский солод,685руб.,(137руб.за 1кг)
67,"Солод Курский Карамельный 200, 1 кг",Курский солод,151руб.,(151руб.за 1кг)
68,"Солод Курский Карамельный 150, 1 кг",Курский солод,151руб.,(151руб.за 1кг)
69,"Солод Курский Карамельный 100, 1 кг",Курский солод,151руб.,(151руб.за 1кг)
70,"Солод Курский Карамельный 100, 5 кг",Курский солод,665руб.,(133руб.за 1кг)
71,"Солод Курский Карамельный 50, 1 кг",Курский солод,151руб.,(151руб.за 1кг)
72,"Солод Курский Карамельный 50, 5 кг",Курский солод,665руб.,(133руб.за 1кг)
73,"Солод Курский Карамельный 150, дробленный, 1 кг",Курский солод,169руб.,(169руб.за 1кг)
74,"Солод Курский Карамельный 50, дробленный, 1 кг",Курский солод,161руб.,(161руб.за 1кг)
75,"Солод Курский жжёный 1400, 5 кг",Курский солод,890руб.,(178руб.за 1кг)
76,"Солод Курский Карамельный 250, дробленный, 5 кг",Курский солод,735руб.,(147руб.за 1кг)
77,"Солод Курский Карамельный 200, дробленный, 5 кг",Курский солод,735руб.,(147руб.за 1кг)
78,"Солод Курский Карамельный 150, дробленный, 5 кг",Курский солод,735руб.,(147руб.за 1кг)
79,"Солод Курский Карамельный 50, дробленный, 5 кг",Курский солод,715руб.,(143руб.за 1кг)
80,"Солод Курский Пэйл Эль, 5 кг",Курский солод,590руб.,(118руб.за 1кг)
81,"Солод Курский Пилзнер, дробленый, 5 кг",Курский солод,630руб.,(126руб.за 1кг)
82,"Солод Курский Пэйл Эль, дроблёный, 5 кг",Курский солод,640руб.,(128руб.за 1кг)
83,"Солод Курский Пилзнер, 5 кг",Курский солод,580руб.,(116руб.за 1кг)
84,"Солод Курский пшеничный, дробленный, 5 кг",Курский солод,660руб.,(132руб.за 1кг)
85,"Солод Курский Мюнхенский тип 2, дробленный, 5 кг",Курский солод,690руб.,(138руб.за 1кг)
86,"Солод Курский пшеничный, 5 кг",Курский солод,610руб.,(122руб.за 1кг)
87,"Солод Курский Мюнхенский тип 2, 5 кг",Курский солод,640руб.,(128руб.за 1кг)
88,"Солод Курский Венский, 5 кг",Курский солод,585руб.,(117руб.за 1кг)
89,"Солод Курский Венский, дробленый, 5 кг",Курский солод,635руб.,(127руб.за 1кг)
90,"Ячмень жженый ""Курский солод"", 25 кг",Курский солод,3400руб.,(136руб.за 1кг)
91,"Солод Курский Двойной обжарки, 25 кг",Курский солод,3075руб.,(123руб.за 1кг)
92,"Солод Castle Malting Wheat Blanc (пшеничный), 25 кг",Castle Malting,4425руб.,(177руб.за 1кг)
93,"Солод Castle Malting Rye (ржаной), 25 кг",Castle Malting,5475руб.,(219руб.за 1кг)
94,"Солод Castle Malting Acid (Кислый), 25 кг",Castle Malting,5575руб.,(223руб.за 1кг)
95,"Солод Castle Malting Abbey, 25 кг",Castle Malting,4350руб.,(174руб.за 1кг)
96,"Солод Курский Мюнхенский тип 2, 25 кг",Курский солод,2625руб.,(105руб.за 1кг)
97,"Солод Курский Шоколадный 900, 25 кг",Курский солод,3125руб.,(125руб.за 1кг)
98,"Солод Castle Malting Pilsen (Пилзнер), 25 кг",Castle Malting,4050руб.,(162руб.за 1кг)
99,"Солод Castle Malting Special B (Спешл Бельгия), 25 кг",Castle Malting,5000руб.,(200руб.за 1кг)
100,"Солод Курский Пилзнер, 25 кг",Курский солод,2525руб.,(101руб.за 1кг)
101,"Солод Курский Карамельный 20, 25 кг",Курский солод,2900руб.,(116руб.за 1кг)
102,"Солод Castle Malting Munich (Мюнхенский), 25 кг",Castle Malting,4500руб.,(180руб.за 1кг)
103,"Солод карамельный Castle Malting Cara Clair (Кара Клэр), 25 кг",Castle Malting,4625руб.,(185руб.за 1кг)
104,"Солод карамельный Castle Malting Cara Ruby (Кара Руби), 25 кг",Castle Malting,4650руб.,(186руб.за 1кг)
105,"Солод карамельный Castle Malting Cara Blond (Кара Блонд), 25 кг",Castle Malting,4625руб.,(185руб.за 1кг)
106,"Солод Castle Malting Whiskey Light (Висковый Лайт), 25 кг",Castle Malting,6725руб.,(269руб.за 1кг)
107,"Солод Курский гречишный, 25 кг",Курский солод,4375руб.,(175руб.за 1кг)
108,"Солод Курский жжёный 1400, 25 кг",Курский солод,3875руб.,(155руб.за 1кг)
109,"Солод Курский Карамельный 300, 25 кг",Курский солод,2975руб.,(119руб.за 1кг)
110,"Солод Курский Карамельный 250, 25 кг",Курский солод,2975руб.,(119руб.за 1кг)
111,"Солод Курский Карамельный 200, 25 кг",Курский солод,2975руб.,(119руб.за 1кг)
112,"Солод Курский Карамельный 150, 25 кг",Курский солод,2975руб.,(119руб.за 1кг)
113,"Солод Курский Карамельный 100, 25 кг",Курский солод,2900руб.,(116руб.за 1кг)
114,"Солод Курский Карамельный 50, 25 кг",Курский солод,2900руб.,(116руб.за 1кг)
115,"Солод Castle Malting Roasted Barley (жареный ячмень), 25 кг",Castle Malting,5600руб.,(224руб.за 1кг)
116,"Солод Castle Malting Cafe Light (Кофейный Лайт), 25 кг",Castle Malting,4775руб.,(191руб.за 1кг)
117,"Солод Castle Malting Whiskey (Висковый), 25 кг",Castle Malting,6850руб.,(274руб.за 1кг)
118,"Солод Castle Malting Pale Ale (Пэйл Эль), 25 кг",Castle Malting,4125руб.,(165руб.за 1кг)
119,"Солод Castle Malting Cafe (Кофейный), 25 кг",Castle Malting,4825руб.,(193руб.за 1кг)
120,"Солод Castle Malting Biscuit (Бисквит), 25 кг",Castle Malting,4 371руб.,(175руб.за 1кг)
121,"Солод Castle Malting Peated (Копченый), 25 кг",Castle Malting,6650руб.,(266руб.за 1кг)
122,"Солод Castle Malting Distilling (Дистиллинг), 25 кг",Castle Malting,4000руб.,(160руб.за 1кг)
123,"Солод Castle Malting Diastatic (Диастатик), 25 кг",Castle Malting,3975руб.,(159руб.за 1кг)
124,"Солод Castle Malting Black (Жженый 1300), 25 кг",Castle Malting,5100руб.,(204руб.за 1кг)
125,"Солод Castle Malting Chocolat (Шоколадный), 25 кг",Castle Malting,5075руб.,(203руб.за 1кг)
126,"Солод Курский Пэйл Эль, 25 кг",Курский солод,2575руб.,(103руб.за 1кг)
127,"Солод Castle Malting Melano (Мелано), 25 кг",Castle Malting,4375руб.,(175руб.за 1кг)
128,"Солод карамельный Castle Malting Cara Gold (Кара Голд), 25 кг",Castle Malting,4650руб.,(186руб.за 1кг)
129,"Солод Castle Malting Vienna (Венский), 25 кг",Castle Malting,3 813руб.,(153руб.за 1кг)
130,"Солод Курский Венский, 25 кг",Курский солод,2550руб.,(102руб.за 1кг)
131,"Солод Курский пшеничный, 25 кг",Курский солод,2650руб.,(106руб.за 1кг)
132,"Солод Курский Меланоидиновый, 25 кг",Курский солод,2900руб.,(116руб.за 1кг)
133,"Солод Курский Пилзнер, 50 кг",Курский солод,5000руб.,(100руб.за 1кг)
134,"Солод Курский овсяный голозерный обжаренный, 25 кг",Курский солод,3100руб.,(124руб.за 1кг)
135,"Солод курский овсяный голозерный, 5 кг",Курский солод,715руб.,(143руб.за 1кг)
136,"Солод карамельный Castle Malting Cara Honey (Медовый), 5 кг",Castle Malting,1000руб.,(200руб.за 1кг)
137,"Солод Castle Malting Chocolat (Шоколадный), 5 кг",Castle Malting,1085руб.,(217руб.за 1кг)
138,"Солод Castle Malting Whiskey Light (Висковый Лайт), 5 кг",Castle Malting,1430руб.,(286руб.за 1кг)
139,"Солод Castle Malting Special B (Спешл Бельгия), 5 кг",Castle Malting,1065руб.,(213руб.за 1кг)
140,"Солод Castle Malting Peated (Копченый), 5 кг",Castle Malting,1400руб.,(280руб.за 1кг)
141,"Солод карамельный Castle Malting Cara Blond (Кара Блонд), 5 кг",Castle Malting,995руб.,(199руб.за 1кг)
142,"Солод Castle Malting Munich Light (Мюнхенский Лайт), 5 кг",Castle Malting,925руб.,(185руб.за 1кг)
143,"Солод Castle Malting Diastatic (Диастатик), 5 кг",Castle Malting,865руб.,(173руб.за 1кг)
144,"Солод Курский ржаной неферментированный, 40 кг",Органик ФУД,2960руб.,(74руб.за 1кг)
145,"Солод Курский ржаной неферментированный, молотый, 5 кг",Органик ФУД,600руб.,(120руб.за 1кг)
146,"Солод Курский ржаной неферментированный, молотый, 1 кг",Органик ФУД,110руб.,(110руб.за 1кг)
147,"Солод карамельный Castle Malting Cara Crystal (Кара Кристалл), 25 кг",Castle Malting,3900руб.,(156руб.за 1кг)
148,"Солод карамельный Castle Malting Cara Arome (Кара Арома), 25 кг",Castle Malting,4650руб.,(186руб.за 1кг)
149,"Солод карамельный Castle Malting Cara Belgium (Кара Бельгия), 25 кг",Castle Malting,4625руб.,(185руб.за 1кг)
150,"Солод Курский жжёный 1400, 1 кг",Курский солод,202руб.,(202руб.за 1кг)
151,"Солод Курский жжёный 1400, дробленный, 5 кг",Курский солод,940руб.,(188руб.за 1кг)
152,"Солод Курский жжёный 1400, дробленный, 1 кг",Курский солод,212руб.,(212руб.за 1кг)
153,"Солод Курский гречишный, дробленный, 1 кг",Курский солод,238руб.,(238руб.за 1кг)
154,"Солод Курский Шоколадный 900, дробленный, 1 кг",Курский солод,212руб.,(212руб.за 1кг)
155,"Солод Курский гречишный, 1 кг",Курский солод,228руб.,(228руб.за 1кг)
156,"Солод Курский гречишный, дробленный, 5 кг",Курский солод,1055руб.,(211руб.за 1кг)
157,"Солод Курский Шоколадный 900, дробленный, 5 кг",Курский солод,940руб.,(188руб.за 1кг)
158,"Солод Курский Карамельный 100, дробленный, 5 кг",Курский солод,715руб.,(143руб.за 1кг)
